Date,Tweets
2022-01-31 10:55:41+00:00,"b'@soybeansnail i had a colleague tell me he rented a bluesg car once, and at the back seat there was some sort of paper with a pool of transparent/white liquid........ right where i was sitting. i was scarred'"
2022-01-31 05:29:53+00:00,b'Should I go get the bluesg car? https://t.co/sskxkXhYWw'
2022-01-31 04:48:20+00:00,b'@soybeansnail Why would someone waste money. Bluesg goes by the min \xf0\x9f\x92\x80'
2022-01-30 17:03:04+00:00,"b'@soybeansnail idk i just saw it happening, not broke enough for the bluesg life\n\ntribecar &gt; AHFJAKCKSKV\n\nALSO WHY DID U THINK IT WAS ME'"
2022-01-30 11:29:17+00:00,b'do people fuck in the bluesg cars'
2022-01-29 00:13:08+00:00,"b'@NadiaDaeng I disagree. A few bad placements can mean more visibility.\n\nThe thing about this common use services is that it must be easily located for users to find. \n\nLike the other day when I use BlueSg, I could not find the cars because it was in the corner of some car park labyrinth.'"
2022-01-25 14:50:37+00:00,b'@Milodrums Try bluesg'
2022-01-24 17:21:59+00:00,b'Bluesg really be like a toy car\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
2022-01-24 12:32:27+00:00,"b""@N1Pitinthebud @NoorFarhan Hahahahaha. Merepek lah korang. I guess it only happens for tribe car so far, for me, is because I haven't tried bluesg. \xf0\x9f\xa4\xa3"""
2022-01-22 09:27:38+00:00,b'these bluesg drivers like cnnt go slow oni'
2022-01-21 17:28:47+00:00,"b'bruh if anyone in cck heard a dude bustin out runs to greatest showman in a bluesg car, im sorry...'"
2022-01-21 13:24:58+00:00,b'fuck bluesg drivers'
2022-01-17 13:11:34+00:00,b'its so funny to see the bluesg car accelerate when the traffic light turns green cuz that thing zooms'
2022-01-13 11:51:12+00:00,b'The sound of a BlueSG car is very distinct.'
2022-01-13 05:00:20+00:00,b'bluesg sounds funny'
2022-01-11 10:49:56+00:00,"b'Just saying that if I tried to drive over a security guard with my rented BlueSG car in front of a good school, I would have been arrested under the Internal Security Act..... Just saying.....'"
2022-01-07 15:47:38+00:00,b'Turns out its just a bluesg dang it'
2022-01-05 10:54:11+00:00,b'I found @pandafoodtoken \nAnd bluesg'
