Date,Tweets
2022-02-13 03:37:55+00:00,"['BlueSG', 'driver', 'stops', 'expressway', 'car', 'behind', 'stops', 'time', 'gets', 'rearended', 'cab', 'The', 'Independent', 'Singapore', 'News']"
2022-02-06 13:44:12+00:00,"['drove', 'bluesg', 'first', 'time', 'today', 'felt', 'like', 'gon', 'na', 'die']"
2022-02-05 12:35:09+00:00,"['Pantang', 'kene', 'cocok', 'ngan', 'blueSG', 'hahah']"
2022-02-05 10:33:38+00:00,"['get', 'accident', 'driving', 'bluesg', 'mail', 'license', 'back', 'TP']"
2022-02-03 12:39:54+00:00,"['GUY', 'COMPLAINS', 'GRAB', 'FARE', 'EX', 'RATHER', 'USE', 'BLUESGnSingapore', 'umbrage', 'spore', 'uncensoredn']"
2022-02-03 05:01:24+00:00,"['Ebike', 'n', 'bluesg', 'problematic', 'electric', 'bodo', 'elon']"
2022-02-01 17:12:02+00:00,"['Take', 'bluesg', 'mike']"
2022-01-31 10:55:41+00:00,"['colleague', 'tell', 'rented', 'bluesg', 'car', 'back', 'seat', 'sort', 'paper', 'pool', 'transparentwhite', 'liquid', 'right', 'sitting', 'scarred']"
2022-01-31 05:29:53+00:00,"['Should', 'I', 'go', 'get', 'bluesg', 'car']"
2022-01-31 04:48:20+00:00,"['Why', 'would', 'someone', 'waste', 'money', 'Bluesg', 'goes', 'min', 'xf0x9fx92x80']"
2022-01-31 04:26:18+00:00,"['3s', 'blewsg', 'guy', 'bluesg', 'car']"
2022-01-30 17:03:04+00:00,"['idk', 'saw', 'happening', 'not', 'broke', 'enough', 'bluesg', 'lifenntribecar', 'AHFJAKCKSKVnnALSO', 'WHY', 'DID', 'U', 'THINK', 'IT', 'WAS', 'ME']"
2022-01-30 11:29:17+00:00,"['people', 'fuck', 'bluesg', 'cars']"
2022-01-29 00:13:08+00:00,"['I', 'disagree', 'A', 'bad', 'placements', 'mean', 'visibilitynnThe', 'thing', 'common', 'use', 'services', 'must', 'easily', 'located', 'users', 'find', 'nnLike', 'day', 'I', 'use', 'BlueSg', 'I', 'could', 'not', 'find', 'cars', 'corner', 'car', 'park', 'labyrinth']"
2022-01-24 17:21:59+00:00,"['Bluesg', 'really', 'like', 'toy', 'carxf0x9fxa4xa3xf0x9fxa4xa3']"
2022-01-24 12:32:27+00:00,"['1Pitinthebud', 'Hahahahaha', 'Merepek', 'lah', 'korang', 'I', 'guess', 'happens', 'tribe', 'car', 'far', 'I', 'havent', 'tried', 'bluesg', 'xf0x9fxa4xa3']"
2022-01-22 09:27:38+00:00,"['bluesg', 'drivers', 'like', 'cnnt', 'go', 'slow', 'oni']"
2022-01-21 17:28:47+00:00,"['bruh', 'anyone', 'cck', 'heard', 'dude', 'bustin', 'runs', 'greatest', 'showman', 'bluesg', 'car', 'im', 'sorry']"
2022-01-21 13:24:58+00:00,"['fuck', 'bluesg', 'drivers']"
2022-01-17 13:11:34+00:00,"['funny', 'see', 'bluesg', 'car', 'accelerate', 'traffic', 'light', 'turns', 'green', 'cuz', 'thing', 'zooms']"
2022-01-13 11:51:12+00:00,"['The', 'sound', 'BlueSG', 'car', 'distinct']"
2022-01-11 10:49:56+00:00,"['Just', 'saying', 'I', 'tried', 'drive', 'security', 'guard', 'rented', 'BlueSG', 'car', 'front', 'good', 'school', 'I', 'would', 'arrested', 'Internal', 'Security', 'Act', 'Just', 'saying']"
2022-01-07 15:47:38+00:00,"['Turns', 'bluesg', 'dang']"
2022-01-05 10:54:11+00:00,"['I', 'found', 'nAnd', 'bluesg']"
